rps,average_latency_ms,status
25,651.38,OK
50,671.13,OK
75,737.90,OK
100,700.27,OK
125,633.63,OK
150,686.95,OK
175,879.19,OK
200,841.31,OK
225,678.61,OK
250,720.40,OK
275,732.74,OK
300,779.60,OK
325,733.87,OK
350,706.25,OK
375,738.78,OK
400,771.52,OK
425,762.37,OK
450,707.23,OK
475,722.37,OK
500,783.41,OK
525,713.52,OK
550,773.69,OK
575,707.00,OK
600,681.74,OK
625,684.02,OK
650,773.67,OK
675,755.86,OK
700,713.61,OK
725,778.11,OK
750,697.59,OK
775,692.60,OK
800,710.29,OK
825,699.73,OK
850,686.58,OK
875,713.43,OK
900,691.71,OK
925,741.76,OK
950,695.55,OK
975,757.25,OK
1000,678.88,OK
